MH33  Martin Hepperle	
1.000000	0.000000
0.996770	0.000290
0.987270	0.001250
0.971940	0.003020
0.951250	0.005580
0.925670	0.008810
0.895640	0.012460
0.861500	0.016340
0.823610	0.020280
0.782310	0.024160
0.738040	0.027950
0.691290	0.031600
0.642590	0.035030
0.592470	0.038150
0.541490	0.040890
0.490200	0.043200
0.439140	0.045000
0.388880	0.046230
0.339930	0.046840
0.292810	0.046780
0.248010	0.046010
0.205960	0.044490
0.167060	0.042210
0.131670	0.039170
0.100090	0.035390
0.072580	0.030920
0.049340	0.025840
0.030480	0.020250
0.016110	0.014350
0.006230	0.008380
0.000910	0.002810
0.000340	0.001650
0.000000	0.000470
0.000020	-0.000540
0.000520	-0.001480
0.001470	-0.002460
0.006540	-0.005740
0.017610	-0.010050
0.033590	-0.014050
0.054400	-0.017560
0.079930	-0.020480
0.109970	-0.022800
0.144290	-0.024490
0.182560	-0.025580
0.224400	-0.026120
0.269400	-0.026140
0.317080	-0.025690
0.366930	-0.024850
0.418410	-0.023670
0.470930	-0.022220
0.523900	-0.020560
0.576710	-0.018750
0.628770	-0.016840
0.679440	-0.014900
0.728130	-0.012940
0.774270	-0.011020
0.817280	-0.009120
0.856670	-0.007230
0.892070	-0.005300
0.923200	-0.003440
0.949700	-0.001860
0.971120	-0.000730
0.986940	-0.000140
0.996700	-0.000010
1.000000	0.000000
Thickness: 7.28% 
Moment coefficient of cm c/4 = -0.03. 
Well suited for 20% chord flaps (but not absolutely necessary). 
Can be used at Reynoldsnumbers of 100'000 and above. 
Better performace in the low Cl range than the MH 30 and MH 32, but thinner. 
Calculated Polars (PROFIL/Eppler):
