MID 011-4 (c)Slobodan Midic   for Hand and Catapult Launched Glider  
     1.000000    0.002692
     0.997402    0.002963
     0.989373    0.003840
     0.978468    0.005048
     0.967420    0.006292
     0.956344    0.007554
     0.945261    0.008829
     0.934164    0.010103
     0.923098    0.011372
     0.912041    0.012618
     0.900979    0.013849
     0.889953    0.015047
     0.878892    0.016218
     0.867838    0.017367
     0.856796    0.018483
     0.845718    0.019579
     0.834647    0.020652
     0.823590    0.021698
     0.812503    0.022722
     0.801412    0.023729
     0.790340    0.024712
     0.779253    0.025671
     0.768145    0.026616
     0.757057    0.027541
     0.745978    0.028441
     0.734872    0.029322
     0.723759    0.030186
     0.712668    0.031031
     0.701576    0.031851
     0.690456    0.032653
     0.679338    0.033442
     0.668243    0.034208
     0.657143    0.034950
     0.646017    0.035676
     0.634893    0.036387
     0.623792    0.037078
     0.612691    0.037743
     0.601567    0.038388
     0.590442    0.039018
     0.579341    0.039624
     0.568242    0.040204
     0.557119    0.040761
     0.545989    0.041301
     0.534886    0.041818
     0.523794    0.042303
     0.512680    0.042763
     0.501553    0.043201
     0.490445    0.043615
     0.479354    0.043998
     0.468243    0.044350
     0.457116    0.044679
     0.446012    0.044983
     0.434933    0.045250
     0.423838    0.045482
     0.412718    0.045683
     0.401618    0.045856
     0.390552    0.045990
     0.379475    0.046078
     0.368373    0.046130
     0.357291    0.046146
     0.346249    0.046114
     0.335197    0.046030
     0.324109    0.045900
     0.313045    0.045729
     0.302028    0.045505
     0.290995    0.045219
     0.279914    0.044883
     0.268852    0.044508
     0.257844    0.044079
     0.246839    0.043585
     0.235828    0.043030
     0.224849    0.042410
     0.213886    0.041715
     0.202910    0.040948
     0.191967    0.040111
     0.181060    0.039190
     0.170146    0.038181
     0.159262    0.037088
     0.148417    0.035901
     0.137573    0.034612
     0.126775    0.033229
     0.116026    0.031732
     0.105301    0.030118
     0.094662    0.028383
     0.084053    0.026503
     0.073511    0.024484
     0.063058    0.022311
     0.052786    0.019978
     0.042724    0.017435
     0.032911    0.014661
     0.023578    0.011655
     0.014723    0.008337
     0.007859    0.005375
     0.004405    0.003668
     0.002726    0.002742
     0.001718    0.002113
     0.001035    0.001626
     0.000548    0.001204
     0.000215    0.000810
     0.000034    0.000426
     0.000012    0.000049
     0.000165   -0.000310
     0.000499   -0.000629
     0.000997   -0.000883
     0.001661   -0.001075
     0.002553   -0.001209
     0.003830   -0.001276
     0.005966   -0.001250
     0.010422   -0.001054
     0.018080   -0.000541
     0.027832    0.000387
     0.038695    0.001669
     0.049625    0.003100
     0.060345    0.004583
     0.071248    0.006128
     0.082133    0.007662
     0.093077    0.009148
     0.104062    0.010563
     0.114968    0.011897
     0.125921    0.013168
     0.136900    0.014376
     0.147822    0.015516
     0.158759    0.016598
     0.169749    0.017629
     0.180716    0.018604
     0.191660    0.019527
     0.202651    0.020406
     0.213684    0.021243
     0.224693    0.022034
     0.235686    0.022780
     0.246718    0.023486
     0.257791    0.024152
     0.268845    0.024776
     0.279869    0.025357
     0.290906    0.025899
     0.301976    0.026404
     0.313044    0.026870
     0.324086    0.027298
     0.335124    0.027688
     0.346189    0.028044
     0.357271    0.028365
     0.368337    0.028651
     0.379390    0.028903
     0.390459    0.029123
     0.401558    0.029311
     0.412668    0.029468
     0.423767    0.029593
     0.434866    0.029689
     0.445994    0.029756
     0.457140    0.029794
     0.468267    0.029804
     0.479355    0.029788
     0.490427    0.029745
     0.501530    0.029677
     0.512664    0.029584
     0.523784    0.029465
     0.534884    0.029321
     0.545989    0.029152
     0.557118    0.028957
     0.568253    0.028736
     0.579369    0.028489
     0.590472    0.028217
     0.601584    0.027918
     0.612715    0.027592
     0.623842    0.027239
     0.634948    0.026861
     0.646047    0.026456
     0.657162    0.026023
     0.668288    0.025563
     0.679397    0.025076
     0.690490    0.024563
     0.701593    0.024022
     0.712714    0.023454
     0.723828    0.022862
     0.734918    0.022246
     0.746011    0.021602
     0.757124    0.020927
     0.768234    0.020221
     0.779321    0.019486
     0.790411    0.018718
     0.801520    0.017915
     0.812618    0.017079
     0.823691    0.016211
     0.834770    0.015307
     0.845861    0.014367
     0.856922    0.013392
     0.867977    0.012380
     0.879049    0.011328
     0.890100    0.010240
     0.901146    0.009112
     0.912225    0.007941
     0.923283    0.006731
     0.934361    0.005485
     0.945438    0.004224
     0.956506    0.002940
     0.967573    0.001640
     0.978639    0.000316
     0.989549   -0.001008
     0.997585   -0.001995
     1.000000  -0.002305
