FAD18 (c)Franck.Aguerre Performances pour 60"et F3F  incidence intgrale
1.00000    0.00009
0.92245    0.00777
0.85304    0.01464
0.79098    0.02076
0.73548    0.02622
0.68578    0.03112
0.64106    0.03544
0.60056    0.03924
0.56348    0.04260
0.52903    0.04556
0.49644    0.04817
0.46515    0.05049
0.43502    0.05251
0.40600    0.05423
0.37801    0.05566
0.35098    0.05679
0.32484    0.05759
0.29950    0.05807
0.27491    0.05823
0.25097    0.05803
0.22763    0.05747
0.20491    0.05654
0.18290    0.05523
0.16172    0.05352
0.14150    0.05140
0.12234    0.04889
0.10438    0.04601
0.08770    0.04281
0.07244    0.03931
0.05869    0.03560
0.04657    0.03174
0.03602    0.02778
0.02698    0.02380
0.01939    0.01983
0.01316    0.01595
0.00822    0.01220
0.00453    0.00864
0.00200    0.00537
0.00050    0.00244
0.00003    -0.00008
0.00049    -0.00231
0.00204    -0.00448
0.00474    -0.00659
0.00851    -0.00871
0.01355    -0.01080
0.02002    -0.01281
0.02803    -0.01468
0.03767    -0.01641
0.04906    -0.01797
0.06230    -0.01934
0.07744    -0.02052
0.09428    -0.02150
0.11267    -0.02228
0.13239    -0.02289
0.15329    -0.02336
0.17515    -0.02366
0.19779    -0.02381
0.22105    -0.02381
0.24472    -0.02366
0.26863    -0.02340
0.29277    -0.02302
0.31732    -0.02255
0.34245    -0.02197
0.36836    -0.02128
0.39520    -0.02050
0.42316    -0.01963
0.45244    -0.01866
0.48319    -0.01761
0.51561    -0.01646
0.54987    -0.01522
0.58630    -0.01389
0.62527    -0.01245
0.66714    -0.01091
0.71228    -0.00924
0.76105    -0.00748
0.81386    -0.00554
0.87102    -0.00358
0.93295    -0.00169
1.00000    -0.00009
