FAD06 (c)Franck.Aguerre Pour 60" et F3F  volets de courbure
1.00000    0.00000
0.92235    0.00583
0.85287    0.01124
0.79076    0.01627
0.73524    0.02091
0.68552    0.02518
0.64081    0.02910
0.60032    0.03268
0.56326    0.03593
0.52884    0.03887
0.49627    0.04150
0.46499    0.04383
0.43488    0.04586
0.40586    0.04758
0.37787    0.04898
0.35084    0.05004
0.32468    0.05076
0.29934    0.05114
0.27473    0.05116
0.25079    0.05081
0.22744    0.05008
0.20472    0.04899
0.18272    0.04755
0.16155    0.04580
0.14135    0.04375
0.12220    0.04143
0.10424    0.03887
0.08756    0.03610
0.07229    0.03312
0.05853    0.02998
0.04639    0.02670
0.03584    0.02333
0.02682    0.01992
0.01925    0.01653
0.01306    0.01323
0.00815    0.01007
0.00447    0.00710
0.00194    0.00440
0.00047    0.00201
0.00000    0.00000
0.00045    -0.00174
0.00187    -0.00347
0.00438    -0.00518
0.00809    -0.00684
0.01310    -0.00843
0.01954    -0.00993
0.02751    -0.01132
0.03713    -0.01259
0.04851    -0.01370
0.06175    -0.01465
0.07689    -0.01541
0.09374    -0.01601
0.11213    -0.01645
0.13187    -0.01674
0.15277    -0.01690
0.17465    -0.01695
0.19731    -0.01689
0.22058    -0.01674
0.24427    -0.01650
0.26819    -0.01620
0.29235    -0.01585
0.31691    -0.01544
0.34206    -0.01498
0.36798    -0.01448
0.39484    -0.01394
0.42283    -0.01336
0.45212    -0.01276
0.48290    -0.01214
0.51534    -0.01150
0.54963    -0.01084
0.58609    -0.01015
0.62509    -0.00940
0.66699    -0.00856
0.71216    -0.00759
0.76097    -0.00649
0.81380    -0.00520
0.87099    -0.00371
0.93294    -0.00199
1.00000    0.00000
