AG47ct  -02f rot.
     1.000000    0.000298
     0.994152    0.000709
     0.982302    0.001537
     0.968889    0.002440
     0.955155    0.003356
     0.941367    0.004260
     0.927559    0.005152
     0.913746    0.006024
     0.899930    0.006873
     0.886134    0.007708
     0.872342    0.008521
     0.858556    0.009309
     0.844773    0.010088
     0.830993    0.010845
     0.817215    0.011582
     0.803444    0.012303
     0.789675    0.013005
     0.775912    0.013693
     0.762154    0.014360
     0.748397    0.015011
     0.734651    0.015647
     0.720906    0.016262
     0.708714    0.016794
     0.703752    0.017006
     0.701271    0.017110
     0.698942    0.017290
     0.694281    0.017652
     0.680252    0.018712
     0.666241    0.019757
     0.652253    0.020777
     0.638276    0.021777
     0.624319    0.022753
     0.612512    0.023564
     0.605008    0.024070
     0.601913    0.024278
     0.595187    0.024723
     0.582617    0.025541
     0.568776    0.026420
     0.557785    0.027099
     0.548895    0.027638
     0.540934    0.028112
     0.527144    0.028911
     0.513375    0.029684
     0.499597    0.030427
     0.485812    0.031143
     0.472036    0.031827
     0.458272    0.032479
     0.444503    0.033101
     0.430738    0.033689
     0.416978    0.034242
     0.403216    0.034759
     0.389456    0.035238
     0.375704    0.035675
     0.361956    0.036073
     0.348208    0.036428
     0.334468    0.036736
     0.320736    0.036998
     0.307008    0.037209
     0.293291    0.037370
     0.279585    0.037476
     0.265881    0.037525
     0.252191    0.037515
     0.238519    0.037444
     0.224854    0.037305
     0.211211    0.037096
     0.197591    0.036811
     0.183991    0.036440
     0.170429    0.035978
     0.156899    0.035413
     0.143417    0.034734
     0.129995    0.033925
     0.116636    0.032969
     0.103377    0.031843
     0.090227    0.030520
     0.077240    0.028968
     0.064445    0.027139
     0.051951    0.024974
     0.039929    0.022391
     0.028756    0.019351
     0.019178    0.015963
     0.011961    0.012593
     0.007092    0.009596
     0.003938    0.007027
     0.001920    0.004778
     0.000715    0.002774
     0.000115    0.001027
     0.000017   -0.000447
     0.000386   -0.001800
     0.001370   -0.003115
     0.003057   -0.004323
     0.005493   -0.005498
     0.009022   -0.006721
     0.014303   -0.008052
     0.022165   -0.009445
     0.032509   -0.010718
     0.044393   -0.011712
     0.057033   -0.012425
     0.070035   -0.012920
     0.083249   -0.013246
     0.096611   -0.013444
     0.110069   -0.013546
     0.123602   -0.013577
     0.137192   -0.013552
     0.150832   -0.013482
     0.164509   -0.013374
     0.178233   -0.013237
     0.191981   -0.013074
     0.205756   -0.012889
     0.219555   -0.012690
     0.233369   -0.012473
     0.247197   -0.012246
     0.261043   -0.012006
     0.274904   -0.011760
     0.288782   -0.011506
     0.302677   -0.011247
     0.316587   -0.010982
     0.330510   -0.010716
     0.344449   -0.010445
     0.358402   -0.010173
     0.372366   -0.009897
     0.386349   -0.009621
     0.400359   -0.009343
     0.414383   -0.009065
     0.428405   -0.008786
     0.442423   -0.008508
     0.456437   -0.008231
     0.470449   -0.007955
     0.484454   -0.007678
     0.498456   -0.007404
     0.512456   -0.007130
     0.526459   -0.006856
     0.540456   -0.006584
     0.548018   -0.006437
     0.557624   -0.006255
     0.567937   -0.006055
     0.581396   -0.005801
     0.594367   -0.005554
     0.600854   -0.005432
     0.603423   -0.005384
     0.608560   -0.005287
     0.622259   -0.005031
     0.635956   -0.004780
     0.649639   -0.004532
     0.663321   -0.004289
     0.676995   -0.004047
     0.690661   -0.003809
     0.696821   -0.003706
     0.699977   -0.003653
     0.706136   -0.003552
     0.718449   -0.003345
     0.732355   -0.003119
     0.746251   -0.002897
     0.760142   -0.002683
     0.774029   -0.002474
     0.787918   -0.002273
     0.801809   -0.002079
     0.815709   -0.001893
     0.829601   -0.001715
     0.843491   -0.001544
     0.857392   -0.001382
     0.871281   -0.001232
     0.885171   -0.001086
     0.899062   -0.000948
     0.912944   -0.000823
     0.926831   -0.000710
     0.940709   -0.000605
     0.954584   -0.000505
     0.968438   -0.000421
     0.982044   -0.000389
     0.994060   -0.000389
     1.000000   -0.000395
