MH 51	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft   
1.00000 0.00000	   
0.99981 0.00000	   
0.99926 0.00002	   
0.99835 0.00006	   
0.99709 0.00011	   
0.99548 0.00017	   
0.99351 0.00025	   
0.99120 0.00036	   
0.98853 0.00048	   
0.98553 0.00063	   
0.98218 0.00081	   
0.97850 0.00102	   
0.97448 0.00127	   
0.97014 0.00154	   
0.96548 0.00186	   
0.96050 0.00222	   
0.95521 0.00262	   
0.94962 0.00307	   
0.94373 0.00356	   
0.93755 0.00409	   
0.93109 0.00467	   
0.92435 0.00529	   
0.91734 0.00597	   
0.91007 0.00668	   
0.90255 0.00745	   
0.89478 0.00827	   
0.88679 0.00913	   
0.87857 0.01005	   
0.87014 0.01101	   
0.86151 0.01201	   
0.85271 0.01304	   
0.84372 0.01412	   
0.83458 0.01522	   
0.82530 0.01633	   
0.81587 0.01745	   
0.80630 0.01855	   
0.79658 0.01963	   
0.78673 0.02068	   
0.77673 0.02171	   
0.76659 0.02271	   
0.75629 0.02367	   
0.74585 0.02460	   
0.73527 0.02549	   
0.72453 0.02636	   
0.71365 0.02721	   
0.70263 0.02804	   
0.69148 0.02886	   
0.68021 0.02967	   
0.66883 0.03045	   
0.65736 0.03123	   
0.64580 0.03200	   
0.63415 0.03274	   
0.62242 0.03348	   
0.61062 0.03418	   
0.59877 0.03488	   
0.58685 0.03555	   
0.57488 0.03621	   
0.56288 0.03685	   
0.55084 0.03746	   
0.53877 0.03805	   
0.52669 0.03863	   
0.51459 0.03918	   
0.50250 0.03970	   
0.49040 0.04019	   
0.47831 0.04067	   
0.46625 0.04112	   
0.45421 0.04154	   
0.44220 0.04194	   
0.43023 0.04230	   
0.41831 0.04264	   
0.40645 0.04294	   
0.39464 0.04322	   
0.38290 0.04347	   
0.37124 0.04367	   
0.35966 0.04386	   
0.34817 0.04400	   
0.33677 0.04412	   
0.32548 0.04420	   
0.31429 0.04424	   
0.30322 0.04425	   
0.29227 0.04423	   
0.28145 0.04417	   
0.27076 0.04407	   
