HN 1069	Allround  Norbert Habbe
1.00000	0.00000
0.99901	0.00015
0.99606	0.00064
0.99114	0.00144
0.98429	0.00259
0.97553	0.00412
0.96489	0.00595
0.95241	0.00803
0.93815	0.01031
0.92216	0.01278
0.90451	0.01545
0.88526	0.01828
0.86448	0.02126
0.84227	0.02433
0.81871	0.02747
0.79389	0.03064
0.76791	0.03380
0.74088	0.03692
0.71289	0.03996
0.68406	0.04291
0.65451	0.04572
0.62435	0.04839
0.59369	0.05087
0.56267	0.05314
0.53140	0.05518
0.50000	0.05695
0.46861	0.05845
0.43733	0.05964
0.40631	0.06051
0.37566	0.06104
0.34549	0.06123
0.31594	0.06105
0.28711	0.06051
0.25912	0.05958
0.23209	0.05828
0.20611	0.05660
0.18129	0.05455
0.15773	0.05213
0.13552	0.04935
0.11474	0.04621
0.09549	0.04275
0.07784	0.03897
0.06185	0.03491
0.04759	0.03061
0.03511	0.02609
0.02447	0.02142
0.01571	0.01669
0.00886	0.01203
0.00394	0.00750
0.00099	0.00337
0.00000	0.00000
0.00099	-0.00284
0.00394	-0.00591
0.00886	-0.00887
0.01571	-0.01161
0.02447	-0.01418
0.03511	-0.01652
0.04759	-0.01857
0.06185	-0.02034
0.07784	-0.02183
0.09549	-0.02305
0.11474	-0.02402
0.13552	-0.02473
0.15773	-0.02521
0.18129	-0.02546
0.20611	-0.02549
0.23209	-0.02533
0.25912	-0.02498
0.28711	-0.02446
0.31594	-0.02379
0.34549	-0.02297
0.37566	-0.02202
0.40631	-0.02096
0.43733	-0.01980
0.46861	-0.01855
0.50000	-0.01722
0.53140	-0.01581
0.56267	-0.01433
0.59369	-0.01279
0.62435	-0.01122
0.65451	-0.00964
0.68406	-0.00811
0.71289	-0.00663
0.74088	-0.00524
0.76791	-0.00397
0.79389	-0.00282
0.81871	-0.00180
0.84227	-0.00093
0.86448	-0.00022
0.88526	0.00035
0.90451	0.00077
0.92216	0.00103
0.93815	0.00111
0.95241	0.00109
0.96489	0.00100
0.97553	0.00081
0.98429	0.00060
0.99114	0.00039
0.99606	0.00020
0.99901	0.00006
1.00000	0.00000
