Eh 1.0/7.0
1.00000 0.00000
0.99901 0.00003
0.99606 0.00014
0.99114 0.00036
0.98429 0.00071
0.97553 0.00121
0.96489 0.00186
0.95241 0.00266
0.93815 0.00360
0.92216 0.00467
0.90451 0.00588
0.88526 0.00724
0.86448 0.00874
0.84227 0.01037
0.81871 0.01216
0.79389 0.01406
0.76791 0.01608
0.74088 0.01819
0.71289 0.02039
0.68406 0.02265
0.65451 0.02495
0.62435 0.02729
0.59369 0.02961
0.56267 0.03190
0.53140 0.03412
0.50000 0.03624
0.46861 0.03821
0.43733 0.03999
0.40631 0.04157
0.37566 0.04288
0.34549 0.04389
0.31549 0.04456
0.28711 0.04487
0.25912 0.04479
0.23209 0.04431
0.20611 0.04341
0.18129 0.04209
0.15773 0.04035
0.13522 0.03822
0.11474 0.03574
0.09549 0.03291
0.07784 0.02980
0.06185 0.02645
0.04759 0.02292
0.03511 0.01927
0.02447 0.01558
0.01571 0.01192
0.00886 0.00845
0.00394 0.00528
0.00099 0.00248
0.00000 0.00000
0.00099 -0.00229
0.00394 -0.00454
0.00886 -0.00681
0.01571 -0.00909
0.02447 -0.01127
0.03511 -0.01328
0.04759 -0.01512
0.06185 -0.01677
0.07784 -0.01822
0.09549 -0.01950
0.11474 -0.02063
0.13522 -0.02160
0.15773 -0.02247
0.18129 -0.02321
0.20611 -0.02383
0.23209 -0.02436
0.25912 -0.02479
0.28711 -0.02513
0.31549 -0.02535
0.34549 -0.02549
0.37566 -0.02551
0.40631 -0.02542
0.43733 -0.02520
0.46861 -0.02485
0.50000 -0.02436
0.53140 -0.02373
0.56267 -0.02295
0.59369 -0.02204
0.62435 -0.02100
0.65451 -0.01983
0.68406 -0.01855
0.71289 -0.01718
0.74088 -0.01574
0.76791 -0.01426
0.79389 -0.01274
0.81871 -0.01124
0.84227 -0.00960
0.86448 -0.00834
0.88526 -0.00699
0.90451 -0.00573
0.92216 -0.00459
0.93815 -0.00356
0.95241 -0.00265
0.96489 -0.00186
0.97553 -0.00120
0.98429 -0.00071
0.99114 -0.00036
0.99606 -0.00014
0.99901 -0.00004
1.00000 0.00000
