 SELIG 3002-099-83
1.00000 0.00000
0.99676 0.00048
0.98723 0.00205
0.97191 0.00483
0.95131 0.00867
0.92576 0.01330
0.89553 0.01862
0.86104 0.02463
0.82286 0.03124
0.78161 0.03825
0.73787 0.04538
0.69214 0.05226
0.64481 0.05868
0.59634 0.06441
0.54711 0.06930
0.49758 0.07328
0.44820 0.07627
0.39944 0.07823
0.35178 0.07915
0.30572 0.07900
0.26173 0.07776
0.22026 0.07537
0.18165 0.07181
0.14619 0.06711
0.11417 0.06135
0.08583 0.05460
0.06135 0.04701
0.04087 0.03873
0.02450 0.03000
0.01234 0.02105
0.00440 0.01211
0.00048 0.00360
0.00051 -.00333
0.00602 -.00831
0.01778 -.01223
0.03507 -.01544
0.05763 -.01796
0.08522 -.01976
0.11761 -.02087
0.15449 -.02145
0.19537 -.02159
0.23976 -.02136
0.28711 -.02078
0.33684 -.01988
0.38835 -.01869
0.44102 -.01717
0.49424 -.01527
0.54750 -.01294
0.60027 -.01020
0.65199 -.00697
0.70250 -.00311
0.75186 0.00081
0.79932 0.00382
0.84366 0.00550
0.88373 0.00590
0.91863 0.00527
0.94770 0.00402
0.97052 0.00257
0.98688 0.00125
0.99672 0.00033
1.00000 0.00000
