AH-6-40-7 AIRFOIL
1.0000000 0.0035000
0.8998800 0.0270500
0.7997900 0.0466000
0.6997200 0.0621500
0.5996700 0.0737000
0.4996300 0.0812500
0.3996200 0.0848000
0.2996200 0.0843500
0.1996500 0.0779000
0.1496800 0.0706700
0.0997400 0.0584500
0.0747700 0.0503400
0.0498200 0.0402200
0.0248800 0.0271100
0.0124200 0.0180600
0.0000000 0.0000000
0.0125300 -.0069400
0.0250400 -.0078900
0.0500300 -.0067700
0.0750200 -.0051600
0.1000100 -.0025500
0.1499900 0.0031700
0.1999600 0.0094000
0.2999100 0.0193500
0.3998800 0.0258000
0.4998700 0.0282500
0.5998700 0.0287000
0.6998900 0.0251500
0.7999200 0.0186000
0.8999600 0.0090500
1.0000000 -.0035000
