alpha,CL,CD,Cm
-6,-0.132535789,0.005040841,-0.102929546
-5,-0.048719081,0.004834691,-0.106897688
-4,0.03513067,0.005176697,-0.110862096
-3,0.11897715,0.00606653,-0.114829482
-2,0.202784821,0.007503003,-0.118805477
-1,0.28652272,0.009483998,-0.122792914
0,0.37014917,0.012006806,-0.126795469
1,0.453635042,0.015067818,-0.130816755
2,0.536942698,0.018662681,-0.134863039
3,0.620034102,0.022785756,-0.138938458
4,0.702887187,0.027433557,-0.143070238
5,0.785460061,0.032597544,-0.147244647
6,0.867717773,0.038270588,-0.15145668
7,0.949625582,0.044444463,-0.155719011
8,1.031153268,0.051109996,-0.160031645
9,1.112271021,0.058258825,-0.164409958
